ACCESS-ESM1-5,CESM2,GFDL-ESM4,GISS,NorESM2-LM,MPI-ESM1-2-LR,CNRM-ESM2-1,UKESM,UVic-ESCM-2-10,HadCM3LC-Bris
0.9856569170951843,-0.12239463536640036,-0.05498623847961426,0.6132392883300781,2.916528996172019,2.0580477714538574,-0.20071688901845627,1.55295,0.09390426427125931,2.8340139830873663
1.9286224842071533,0.1994380089263997,2.216779589653015,-0.09349441528320312,4.956287599709037,3.890951156616211,0.20807629508655376,2.52909,0.5257078409194946,4.772540259137165
3.0494942665100098,0.7949011483439995,4.1591233015060425,1.8054924011230469,6.327905225328826,3.613654136657715,0.7283086989839288,5.07297,1.2427196502685547,5.315435859794435
3.5759189128875732,1.9727776551599998,5.428592205047607,3.7974319458007812,7.2683829392849075,6.491036415100098,1.404065470896421,8.282399999999999,2.1999447345733643,8.561828364817508
4.317919731140137,3.3004148597136,5.966312885284424,4.191989898681641,8.649206613033837,9.334162712097168,2.040433485446121,11.00376,3.373218059539795,8.94670624199292
4.71011209487915,5.2607316448656,7.006818175315857,4.233303070068359,10.116351850246126,9.73691177368164,4.045165491515435,11.74326,4.717043876647949,11.86921741452534
7.115989685058594,6.8530243523472,8.041681170463562,5.835929870605469,11.49866012673676,10.34166145324707,4.931590660859874,13.69554,6.203496932983398,14.561471278127447
9.321144104003906,8.1888790297104,12.434100270271301,7.7751922607421875,13.327337128169678,13.236316680908203,6.255083975619363,17.03808,7.831215858459473,18.43732920724279
10.001409530639648,10.016735880686399,12.432349562644958,8.70263671875,14.531045969612343,16.8839054107666,7.767181306051304,19.47843,9.55864429473877,22.03344087087769
12.208477020263672,12.6982283895036,13.883340954780579,9.167510986328125,15.623307517621512,18.876178741455078,10.193234479281145,22.140629999999998,11.364728927612305,24.77579531340242
16.8695068359375,14.7558182051196,17.438510060310364,11.612045288085938,17.6382473658453,21.922195434570312,11.86667889571456,24.063329999999997,13.278923988342285,25.9813522816032
20.059518814086914,16.2038594575548,22.444510340690613,13.872547149658203,19.740496758667778,22.61719512939453,13.181920456995357,25.142999999999997,15.268805503845215,28.224876329252854
23.659521102905273,18.057568384619998,23.675317406654358,15.528377532958984,20.787132818780535,23.917936325073242,16.32969639740524,29.713109999999997,17.285459518432617,31.401077874492444
28.62471580505371,20.573313186765596,23.43312966823578,17.17620086669922,22.937312871748556,27.449851989746094,19.493355239384012,32.71548,19.349563598632812,34.18606729479509
31.86014175415039,22.681788207904795,25.680055022239685,19.87238311767578,25.441346067742003,30.995838165283203,21.25888203132534,34.32759,21.440616607666016,35.52206050713416
35.02576446533203,24.817723448623195,26.569753527641296,22.263309478759766,27.450237384900593,35.555686950683594,24.25476074612541,37.16727,23.570146560668945,37.80602082502799
38.64246368408203,26.873284874594393,29.28152287006378,22.64525604248047,29.637692986723707,38.417842864990234,26.279454647313376,41.45637,25.714773178100586,42.43321542017905
41.01870346069336,29.339761534005593,30.264277577400208,23.291240692138672,31.942348204582387,41.87689208984375,29.14494166446241,42.52125,27.92481231689453,49.06028880039675
43.71223449707031,31.109142109067992,32.88673651218414,24.944496154785156,34.38294962993163,43.24198913574219,31.160122169254254,43.45302,30.12777328491211,49.458175421862464
47.21868133544922,34.05932462277539,34.442015290260315,26.64211654663086,36.389810861212595,44.81925582885742,32.62196919175527,46.677240000000005,32.375728607177734,52.81931571637624
49.981689453125,36.604781262023394,37.00845515727997,27.583946228027344,39.023825855072864,47.58615493774414,36.12406910747854,50.27121,34.65275573730469,58.99363624208966
53.040550231933594,39.132747860236194,39.49108278751373,28.787376403808594,41.60508105589832,51.73988342285156,38.57370694294016,52.075590000000005,36.97795104980469,64.08488906158766
55.700836181640625,41.761117778754596,42.40096366405487,30.794872283935547,44.26356179895138,55.752567291259766,40.64035211164067,55.55124000000001,39.337310791015625,67.46853319496081
57.48426818847656,44.2966870104426,45.655404448509216,33.67287826538086,47.0386815902348,58.90684127807617,42.421936043307355,61.48203000000001,41.75598907470703,70.29441853028237
58.86382293701172,46.853939935088995,46.66303503513336,35.415733337402344,49.80197277016757,63.25721740722656,47.390196777711196,65.12037000000001,44.16204071044922,74.1607149820333
62.91925811767578,49.198460279466595,48.25515687465668,36.54841613769531,52.481487668483986,63.680667877197266,48.88004997877265,68.93619000000001,46.60501480102539,79.83671134696506
66.62246704101562,51.484279245776996,53.028767228126526,37.472965240478516,55.15106945246214,65.32222747802734,50.9062896432303,71.99772000000002,49.033721923828125,85.99403679596176
69.82247924804688,55.091175059543396,57.700127482414246,39.20216369628906,58.13011041157694,67.67890930175781,52.784498124693854,73.95000000000002,51.48244857788086,90.75314226485595
71.79181671142578,58.6816755775362,60.75077974796295,42.0536994934082,60.64506077713248,75.3910140991211,57.08402735234313,77.63271000000002,53.92819595336914,95.07585222251718
76.33253479003906,61.860905011155594,64.3978191614151,44.62405014038086,63.232474705192494,79.8203125,60.6529027531663,81.69996000000002,56.37875747680664,99.53170176306476
79.6834487915039,65.0212496091684,64.91268241405487,46.05763626098633,66.41662450234928,82.68009185791016,64.28766487131853,84.30300000000003,58.826419830322266,105.72633258966614
82.7698745727539,67.85208877412519,68.3959971666336,47.35124588012695,69.17153424387499,87.56169891357422,67.30090871695077,86.53629000000002,61.29292678833008,107.14615911303034
86.04842376708984,70.96750555038119,71.80118381977081,50.11668395996094,71.81160418489972,91.4833984375,72.13485585942041,91.53531000000002,63.75458908081055,110.07097442877563
88.23633575439453,73.9678880531844,73.07247221469879,53.18517303466797,74.68878377007985,94.55426025390625,74.60066038350533,94.15314000000002,66.2091293334961,113.72763034649725
89.88712310791016,77.257159759098,75.57534778118134,54.273193359375,77.648253420504,94.76280975341797,78.19343375540429,95.57298000000002,68.64358520507812,116.36922646474287
92.84675598144531,79.9150259831364,78.65663707256317,54.85393142700195,80.39936719799084,99.3663101196289,80.11976006651751,97.31820000000002,71.04736328125,118.02318740768484
94.08614349365234,83.40327576688681,81.64513576030731,57.1605224609375,83.6402156951907,105.0057373046875,82.5140765701102,100.63116000000002,73.46141052246094,121.34027793123026
95.91313171386719,86.72329313942761,81.59829008579254,59.37367248535156,86.80933885036958,108.64091491699219,86.27554349439237,103.64832000000003,75.8815689086914,126.17773696871573
98.31378173828125,89.46370183415401,84.10775172710419,60.49468994140625,89.72286147012264,110.8868179321289,91.23464362907903,105.76329000000003,78.27155303955078,128.40259658062763
99.90577697753906,92.1832756438212,86.71559154987335,62.26541519165039,92.92373945732764,114.76738739013672,94.07118417704797,107.39019000000003,80.68522644042969,132.5926621727264
102.7636947631836,96.1417674568836,90.8091288805008,64.73931884765625,95.61282871982367,119.68634033203125,97.19259949808773,112.89207000000003,83.05713653564453,135.2316995618196
